Slug,English,German,Spanish,French,Italian,Japanese
ba130_0,Courtyard Colosseum – Survival Battle – Battle 1 – The first step on a long and dangerous path is taken.,,Desafío Supervivencia en el Coliseo Bastión: 1er combate – Este es el primer paso en un largo y duro camino.,,Lotta Resistenza dell'Arena Corte – Lotta 1 – Abbiamo mosso il primo passo su una strada lunga e rischiosa.,
ba140_0,Stargazer Colosseum – Pokétopia Championship – Battle 1 – The Battle to determine the strongest trainer begins now,,Campeonato de Pokétopia en el Coliseo Planetario: 1er combate – En este desafío se decidirá quién es el entrenador más fuerte.,,Campionato di Pokétopia dell'Arena Cielstellato – Lotta 1 – Sta per iniziare la lotta che determinerà l'allenatore più forte.,
ba150_0,Stargazer Colosseum – Masters Battle – Set 1,,Desafío de Maestros en el Coliseo Planetario: 1ª vuelta,,Lotta Master dell'Arena Cielstellato – Set 1,
ba160_0,Stargazer Colosseum – Masters Battle – Set 2,,Desafío de Maestros en el Coliseo Planetario: 2ª vuelta,,Lotta Master dell'Arena Cielstellato – Set 2,
ba170_0,Stargazer Colosseum – Masters Battle – Set 3,,Desafío de Maestros en el Coliseo Planetario: 3ª vuelta,,Lotta Master dell'Arena Cielstellato – Set 3,
ba180_0,Stargazer Colosseum – Masters Battle – Set 4,,Desafío de Maestros en el Coliseo Planetario: 4ª vuelta,,Lotta Master dell'Arena Cielstellato – Set 4,
ba182_0,Stargazer Colosseum – Masters Battle – Set 5,,Desafío de Maestros en el Coliseo Planetario: 5ª vuelta,,Lotta Master dell'Arena Cielstellato – Set 5,
ba184_0,Stargazer Colosseum – Masters Battle – Set 6,,Desafío de Maestros en el Coliseo Planetario: 6ª vuelta,,Lotta Master dell'Arena Cielstellato – Set 6,
ba186_0,Stargazer Colosseum – Masters Battle – Set 7,,Desafío de Maestros en el Coliseo Planetario: 7ª vuelta,,Lotta Master dell'Arena Cielstellato – Set 7,
ba188_0,Stargazer Colosseum – Masters Battle – Final Set,,Desafío de Maestros en el Coliseo Planetario: Última vuelta,,Lotta Master dell'Arena Cielstellato – Ultimo set,
ba200_0_ml,Courtyard Colosseum – Survival Battle – Battle 1 – Can the Challenger survive long enough to get a new record?,,Desafío Supervivencia en el Coliseo Bastión: 1er combate – ¿Aguantará el equipo aspirante lo suficiente para batir su propio récord?,,Lotta Resistenza dell'Arena Corte – Lotta 1 – Riuscirà lo sfidante a resistere abbastanza per ottenere un nuovo record?,
ba210_0,Courtyard Colosseum – Survival Battle – Battle 1 – Can the Challenger survive long enough to get a new record?,,Desafío Supervivencia en el Coliseo Bastión: 1er combate – ¿Aguantará el equipo aspirante lo suficiente para batir su propio récord?,,Lotta Resistenza dell'Arena Corte – Lotta 1 – Riuscirà lo sfidante a resistere abbastanza per ottenere un nuovo record?,
ba290_0,The Colosseum battle is now at its final stage. A stronger opponent is going to appear.,,,,La lotta di questa Arena è giunta al suo capitolo finale. Sta per scendere in campo un avversario più forte che mai.,
ba300_0_ml,"The challenger, who's already come this far, is going to face their final opponent.",,"El equipo aspirante ha llegado muy lejos, pero tendrá que verselas ahora con su mayor rival.",,Il nostro sfidante che si è fatto strada fino a qui sta per trovarsi faccia a faccia con l'ultimo avversario.,
ba305_0,"The strongest trainer in Pokétopia, the one who stands above the Colosseum Masters, is now entering.",,"El mejor entrenador de Pokétopia, adalid de los maestros Coliseos, hace su aparición.",,"Ed ecco a voi l'allenatore più forte di Pokétopia, colui che si innalza al di sopra dei Master di tutte le Arene.",
ba310_0,The winner of this battle will become the winner of the tournament. This one's important.,,Este combate es decisivo: quien gana se llevará todos los honores.,,L'allenatore che si aggiudicherà la vittoria in questa lotta vincerà il torneo. Questa sì che è una lotta importante.,
ba320_0,The League Battle at the Magma Colosseum is in its final match.,,El Desafío Liguilla del Coliseo Magma toca a su fin.,,La Lotta Sfida nell'Arena Vulcano è giunta al capitolo finale.,
ba330_0_ml,This is the tenth battle in Survival Battle. Here comes a fierce opponent. Let's see if the challenger can survive.,,Comienza el décimo combate del Desafío Supervivencia. El aspirante tiene ante sí un formidable reto. ¿Podrá con el?,,È la decima sfida della Lotta Resistenza. Il prossimo avversario è un osso duro. Chissà se il nostro sfidante riuscirà a cavarsela anche questa volta.,
ba340_0_ml,The Survival Battle is entering its fiftieth battle. How many more battles can the Challenger win?,,,,Sta per iniziare la cinquantesima sfida della Lotta Resistenza. Quante vittorie riuscirà ad aggiudicarsi ancora lo sfidante?,
ba350_0_ml,The Survival Battle is entering its record-breaking 100th battle. Let's hear it for the Challenger and their Pokémon.,,"Estamos ante, todo un récord, el combate número cien del Desafío Supervivencia. Veamos cómo responde el equipo aspirante.",,Sta per iniziare la centesima sfida della Lotta Resistenza. Un risultato da record. Un applauso per lo sfidante e i suoi Pokémon.,
ba360_0_ml,,,,,,
ba360_1_ml,,,,,,
ba360_2_ml,,,,,,
bb010_0_1,from the Blue corner,,"En la esquina azul, tenemos a",,,
bb010_0_2,and from the Red corner,,"y en la roja, a",,,
bb010_0_3,here they come,,Que empiece el espectáculo.,,,
bb015_0_1,from the Blue corner,,"En la esquina azul, tenemos a",,,
bb015_0_2,and from the Red corner,,"y en la roja, a",,,
bb015_0_3,such energy,,Qué despliegue de fuerzas.,,,
bb017_0,The Pokémon from both corners are all here.,,,,,
bb020_0_1,from the Blue corner,,"En la esquina azul, tenemos a",,,
bb020_0_2,and from the Red corner,,"y en la roja, a",,,
bb020_0_3,here they come,,Que empiece el espectáculo.,,,
bb025_0_1,from the Blue corner,,"En la esquina azul, tenemos a",,,
bb025_0_2,and from the Red corner,,"y en la roja, a",,,
bb025_0_3,such energy,,Qué despliegue de fuerzas.,,,
bb030_0,This is an important battle for both trainers.,,Este es un combate importante para ambos equipos.,,,
bb040_0,Both corners are full of energy so we're sure to see a great battle.,,Ambas esquinas presentan oponentes muy interesantes. El combate promete.,,,
bb050_0,They're ready to battle and are awaiting their trainers' orders.,,Los Pokémon están listos para la acción y esperan sus respectivas órdenes.,,,
bb060_0,Both corners are so full of energy that there's no doubt this'll be a great battle.,,Este va a ser un duelo entre titanes. El combate va a estar de lo más emocionante.,,,
bb070_0,Wow. Giant Pokémon sure do make this Colosseum look tiny.,,"Con Pokémon de este tamaño, el Coliseo parece diminuto.",,,
bb080_0,Is it just me or is it getting a little chilly in here?,,,,,
bb090_0,The Colosseum is heating up as the spectators wait for the battle to begin.,,El ambiente se está caldeando mientras los espectadores aguardan impacientes el inicio del combate.,,,
bb100_0,"From the dense fog of the Colosseum, the Pokémon appear.",,Los Pokémon aparecen en el Coliseo entre jirones de niebla.,,,
bb110_0,"Now, it's time for all-out combat.",,,,,
bb120_0,"The sight of Pokémon battling against a beautiful sunset, it's truly moving.",,,,,
bb122_0,This ancient Colosseum will once again bear witness to history in the making.,,,,,
bb130_0,The Pokémon have appeared and not even the magma's heat can stop them.,,"Los Pokémon están listos para la acción, ni la lava más ardiente podría detenerles.",,,
bb140_0,The relaxing waterfall seems to be heightening the Pokémon's concentration.,,El relajante borboteo de agua parece agudizar la concentración de los Pokémon.,,,
bb150_0,The once peaceful air is now turning thick with tension at the appearance of such intense Pokémon.,,La aparición de estos Pokémon ha creado de repente mucha expectación.,,,
bb152_0,Little Pokémon are a fan favorite here at Sunny Park.,,"En el Coliseo Vergel, los Pokémon más pequeños son los favoritos del público.",,,
bb154_0,"Illuminated by the beautiful neon light, an exciting battle is about to begin.",,Brillantes luces de neon ilumina la arena donde se celebrará el combate.,,,
bb156_0,"Lit by eerily beautiful moonlight, the Pokémon await their trainers' orders.",,"Iluminados por la luz de la luna, los Pokémon aguardan sus órdenes.",,,
bb158_0,Millions of stars flicker in the night as we stand on this meteorite. An exciting battle is about to begin in an world of illusion created by the Pokétopia Master.,,El cielo nocturno resplandece con millones de estrellas. Un emocionante combate está a punto de comenzar en este mundo mágico creado por el Maestro de Pokétopia.,,,
bb160_0,The Pokémon are softly lit by the glow of the crystals.,,,,,
bb162_0,The Pokémon stand heroically against an inspiring view of Pokétopia at night.,,"La silueta de los Pokémon se recorta en la noche, una imagen inolvidable de Pokétopia.",,,
bb164_0,Thousands have gathered at this Colosseum located on the Main Street of Pokétopia to witness the big battle that is about to unfold.,,Miles de espectadores abarrotan el Coliseo situado en la vía principal de Pokétopia para presenciar el gran combate que va a celebrarse.,,,
bc010_0,Which Pokémon is going to make the first move?,,¿Qué Pokémon se decidirá atacar primero?,,,
bc020_0,Both trainers are carefully planning their strategy.,,Ambos equipos parecen estar replanteando su estrategia.,,,
cb_010m,suddenly calls their Pokémon back,,llama sorprendentemente a su Pokémon,,,
cb_020m,calls their Pokémon back,,llama a su Pokémon,,,
cb_030,It went down as soon as it came out.,,El Pokémon se debilitó nada más a lid en la arena.,,,
cb_040,The other Pokémon is also being shifted out.,,Otro cambio de Pokémon.,,,
cb_050m,shifts out their Pokémon as well,,también cambia su equipo Pokémon.,,,
cb_060,It seems that its physical condition is not so good.,,No parece disfrutar de muy buenas condiciones físicas.,,,
cb_070,Its Healing Wish has come true and the Pokémon has recovered.,,Deseo Cura se ha hecho realidad y el Pokémon se ha recuperado.,,,
cb_080,Lunar Dance recovers its health.,,Ha recobrado su salud gracias a Danza Lunar.,,,
cb_090,The second set of Pokémon have appeared.,,La segunda pareja de Pokémon sale a la arena.,,,
cb_092,The third set of Pokémon have appeared.,,La tercera pareja de Pokémon sale a la arena.,,,
cb_093,The fourth set of Pokémon have appeared.,,La cuarta pareja de Pokémon sale a la arena.,,,
cb_094,The last set of Pokémon have appeared.,,La última pareja de Pokémon sale a la arena.,,,
cb_100,"With the appearance of Kyogre, it's now pouring rain in the Colosseum.",,"En cuanto Kyogre ha hecho acto de presencia, ha empezado de diluviar.",,,
cb_101,It's pouring rain in the Colosseum.,,La lluvia arrecia en el Coliseo.,,,
cb_120,The appearance of Groudon has caused the sun's rays to intensify.,,"Traz la aparición de Groudon, el sol pica fuerte.",,,
cb_121,The sun's rays have suddenly intensified.,,El sol se ha vuelto abrasador.,,,
cb_130,intimidates its opponent,,intimida su oponente.,,,
cb_140,recovered from its status problem,,se ha recobrado de sus problemas de estado.,,,
cb_141,It recovered from its status problem.,,,,,
cb_150,woke up,,se ha despertado.,,,
cb_151,It woke up.,,El Pokémon se ha despertado.,,,
cb_160,recovered from poison,,,,,
cb_161,It's no longer poisoned.,,,,,
cb_170,restored its health,,ha recuperado su salud.,,,
cb_171,It has restored its health.,,,,,
cb_180,restored some health,,,,,
cb_181,It restored some health.,,,,,
cb_190,recovered from its burn,,,,,
cb_191,Its burn was healed.,,,,,
cb_200,thawed out,,ya no está congelado.,,,
cb_201,It thawed out.,,,,,
cb_210,Castform transformed.,,Castform se ha transformado.,,,
cb_220,Regigigas just can't get going because of its Slow Start.,,Regigigas no reacciona debido a su Incinio Lento.,,,
cb_230,It started to hail in the Colosseum.,,Ha empezado de granizar en el Coliseo.,,,
cb_240,A sandstorm is brewing in the Colosseum.,,Se está formando una tormenta de arena en el Coliseo.,,,
cb_310,comes out as well,,también abandona a la arena.,,,
eb_010,The battle has ended.,,El combate ha terminado.,,,
eb_020,The game is now over.,,El combate se ha acabado.,,,
eb_030,"Game, set, and match.",,Fin del asalto y del combate.,,,
eb_040,The results are in.,,Ya tenemos los resultados.,,,
eb_050,The Blue Corner just barely lost.,,La esquina azul perdió por muy poco.,,,
eb_060,The Blue Corner lost.,,La esquina azul ha perdido.,,,
eb_070m,narrowly escaped defeat,,se ha librado por muy poco.,,,
eb_080m,pulled off an impressive victory,,ha estado impresionante.,,,
eb_100,The Blue Corner has won the game.,,La esquina azul gana en esta ocasión.,,,
eb_102,The Red Corner has won the game.,,La esquina roja gana en esta ocasión.,,,
eb_110m,It's an absolute victory for the Blue Corner.,,La esquina azul se alza con la victoria.,,,
eb_112,It's an absolute victory for the Red Corner.,,La esquina roja se alza con la victoria.,,,
eb_120m,It's a total victory for the Blue Corner.,,Victoria aplastante de la esquina azul.,,,
eb_121,It's a total victory for the Red Corner.,,Victoria aplastante de la esquina roja.,,,
eb_122m,has decided to give up,,ha decidido rendirse.,,,
eb_123,Both corners gave up. It's a draw.,,"Ambas esquinas abandonan, así que tenemos un empate.",,,
eb_124,The result is a draw.,,Nos encontramos entre un empate.,,,
eb_130,The Blue Corner lost an important first fight.,,La esquina azul ha perdido el primer combate.,,,
eb_140,The Blue Corner is suffering consecutive defeats.,,La esquina azul sigue perdiendo.,,,
eb_150,The Blue Corner really needed that win.,,La esquina azul necesitaba esa victoria.,,,
eb_160,That's the third consecutive defeat for the Blue Corner.,,Y esta es la tercera derrota consecutiva para la esquina azul.,,,
eb_170,The Blue Corner hasn't even heard the word “victory” yet.,,La esquina azul no levanta cabeza.,,,
eb_180,The Blue Corner has lost their advantage and it's now even.,,La esquina azul ha perdido su ventaja. Tiene el mismo número de victorias y derrotas.,,,
eb_190,"The Blue Corner just keeps on losing. With another defeat, it'll be hard to achieve a league victory.",,"La esquina azul vuelve a perder. Si no remonta en la próxima, difícilmente ganará la liguilla.",,,
eb_200,The Blue Corner continues to suffer more defeats.,,La esquina azul sigue su caída en picado.,,,
eb_210,The Blue Corner has just taken the very first loss.,,Esta es la primera derrota para la esquina azul.,,,
eb_220,The Blue Corner just got their first victory.,,La esquina azul acaba de conseguir su primera victoria.,,,
eb_230,The Blue Corner now has consecutive victories.,,La esquina azul sigue en racha.,,,
eb_240,The Blue Corner now has three consecutive victories.,,La esquina azul ha conseguido tres victorias consecutivas.,,,
eb_245,The Blue Corner keeps on winning without any problem.,,La esquina azul sigue avanzando.,,,
eb_250,Another amazing victory for the Blue Corner. This is their fourth consecutive win.,,Otra impresionante victoria para la esquina azul. Esta es la cuarta consecutiva.,,,
eb_260,The Blue Corner was able to even up the score.,,La esquina azul ha logrado equilibrar su resultado.,,,
eb_270,The Blue Corner is now leading by one win.,,La esquina azul lleva más victorias que derrotas por el momento.,,,
eb_280,It's another scoring win for the Blue Corner.,,Una victoria más para la esquina azul.,,,
eb_290,"Finally, a scoring win for the Blue Corner.",,"Por fin, una victoria para la esquina azul.",,,
eb_292,This next fight has become very important for the Blue Corner.,,El próximo combate es clave para la esquina azul.,,,
eb_293,The Blue Corner desperately needs a win. Even just one.,,La esquina azul necesita desesperadamente una victoria para sumar puntas a su marcador.,,,
eb_294,It's been nothing but draws so far for the Blue Corner.,,"Hasta el momento, empates es lo único que ha visto la esquina azul.",,,
eb_295,It's still neck and neck for the Blue Corner.,,La balanza no parece inclinarse ni a un lado ni a otro.,,,
eb_296,The Blue Corner has more wins than losses.,,La esquina azul tiene más ganado que perdido.,,,
eb_297,The Blue Corner has more losses than wins.,,La esquina azul tiene más perdido que ganado.,,,
eb_300_ml,The Challenger has 10 consecutive wins in the Survival Battle.,,El aspirante ha conseguido diez victorias consecutivas en el Desafío Supervivencia.,,,
eb_310_ml,The Challenger has 50 consecutive wins in the Survival Battle.,,El aspirante ha ganado cincuenta veces consecutivas en el Desafío Supervivencia.,,,
eb_320_ml,The Challenger has finally achieved 100 consecutive wins in the Survival Battle.,,,,,
eb_330_ml,The Challenger has broken their own record.,,El aspirante ha superado su propio récord.,,,
eb_340,"After a heated battle, the first to win the Magma Colosseum League Battle is the Blue Corner.",,"Después de un acalerado combate, la esquina azul logra una gran victoria en el Desafío Liguilla en el Coliseo Magma.",,,
eb_350,The Blue Corner is the first to win the Magma Colosseum League Battle but they barely pulled it off.,,,,,
eb_360,The Blue Corner put up a good fight but fell short of becoming the League Champion.,,,,,
eb_370,The Blue Corner wasn't able to get a League Championship.,,La esquina azul no ha podido con el desafío.,,,
eb_380_ml,The Challenger won the Rental Battle.,,El aspirante superó con éxito el Desafío Préstamo.,,,
eb_390,,,,,,
eb_395_ml,The Challenger won the Trade Battle.,,El aspirante superó con éxito el Desafío Intercambio.,,,
eb_400_ml,The Challenger won the Fortune Battle.,,El aspirante superó con éxito el Desafío Aleatorio.,,,
eb_410_ml,The Challenger triumphed over the Tournament Battle.,,El equipo aspirante fue el ganador del Desafío Torneo.,,,
eb_420_ml,The Challenger won the Knockout Battle.,,El equipo aspirante ha superado el Desafío K.O.,,,
eb_430_ml,The Challenger won the Little Battle.,,El equipo aspirante ha superado el Desafío Menor.,,,
eb_440_ml,The Challenger won the Select Battle.,,El aspirante superó con éxito el Desafío Seleccion.,,,
eb_450,,,,,,
eb_460m,won the Tournament.,,,,,
eb_470_ml,The Challenger won the League Battle.,,El equipo aspirante ha superado el Desafío Liguilla.,,,
eb_480_ml,The Challenger won the Tournament Battle.,,El equipo aspirante ha superado el Desafío Torneo.,,,
eb_490,The Blue Corner came through victorious after an intense battle. Let's hear it for the new champion of the Pokétopia Championship.,,,,,
eb_500_ml,The Challenger won the first set of the Masters Battle.,,El equipo aspirante ganó la primera vuelta del Desafío de Maestros.,,,
eb_510_ml,The Challenger won the second set of the Masters Battle.,,El equipo aspirante ganó la segunda vuelta del Desafío de Maestros.,,,
eb_520_ml,The Challenger won the third set of the Masters Battle.,,El equipo aspirante ganó la tercera vuelta del Desafío de Maestros.,,,
eb_522_ml,The Challenger won the fourth set of the Masters Battle.,,El equipo aspirante ganó la cuarta vuelta del Desafío de Maestros.,,,
eb_524_ml,The Challenger won the fifth set of the Masters Battle.,,El equipo aspirante ganó la quinta vuelta del Desafío de Maestros.,,,
eb_526_ml,The Challenger won the sixth set of the Masters Battle.,,El equipo aspirante ganó la sexta vuelta del Desafío de Maestros.,,,
eb_528_ml,The Challenger won the seventh set of the Masters Battle.,,El equipo aspirante ganó la séptima vuelta del Desafío de Maestros.,,,
eb_530_ml,The Challenger won the final set of the Masters Battle.,,El equipo aspirante ganó la última vuelta del Desafío de Maestros.,,,
eb_540_ml,The Challenger was beaten all too soon.,,El equipo aspirante ha abandonado la arena realmente pronto.,,,
eb_550_ml,The Challenger just couldn't beat the Colosseum Master. What a crushing defeat.,,,,,
eb_552,The Pokétopia Master was too strong an opponent.,,"Por lo que parece, el Maestro de Pokétopia no tiene rival.",,,
eb_560_ml,The Challenger was defeated. What a shame. Victory was so close.,,El eqipo aspirante ha sido derrotado. Se ha quedado con la miel en los labios.,,,
eb_570_ml,The Challenger has lost.,,El equipo aspirante ha perdido.,,,
eb_580_ml,"The Challenger was finally drained of their energy and defeated. However, they were able to set a new and unprecedented record.",,"El equipo se ha quedado sin fuerzas, aunque ha puesto el listón muy alto con este récord sin precedentes.",,,
eb_590_ml,"The Challenger was finally drained of their energy and defeated. However, they were able to set a new record.",,"Al equipo aspirante se lo acabó la cuerda, aunque ahora puede presumir de un nuevo récord.",,,
eb_600_ml,The Challenger put a good fight but was beaten in the end.,,"El equipo aspirante ha plantado cara, pero ha sido derrotado.",,,
eb_610_ml,The Challenger was defeated.,,El equipo aspirante ha sido derrotado.,,,
eb_612_ml,The Challenger couldn't take it and was beaten down.,,El equipo aspirante no ha logrado resistir y ha caído frente a su contrincante.,,,
eb_614_ml,"Although it was a close game, the Challenger just fell short.",,"El combate estuvo realmente igualado, pero la victoria no fue para el equipo espirante.",,,
eb_616,"Based on the Tournament's rules, this draw will be decided by a rematch.",,"Como dictan las reglas del torneo, ambas esquinas volverán a combatir para decidir este empate.",,,
h1b_020,A brilliant attack right from the start.,,Un ataque brillante nada más en pasar.,,,
h1b_022,Ohh (Ugh)!,,¡Ah!,,,
h1b_023,Ahh!,,¡Uy!,,,
h1b_024,Bam!,,Menudo golpe.,,,
h1b_025,Bam.,,Menudo golpe.,,,
h1b_026,Big hit.,,Vaya paliza.,,,
h1b_027,Slammed 'em.,,Vaya paliza.,,,
h1b_030,Crushing blow.,,Lo ha machacado.,,,
h1b_040,It's down already.,,Ha caído nada más en pasar.,,,
h1b_050,Taken out already.,,Noqueado en un pis-pas.,,,
h1b_060,It couldn't take it. It's down.,,No ha podido resistirlo. Se ha debilitado.,,,
h1b_070,A huge amount of damage. It's down.,,No ha podido encajar el daño sufrido.,,,
h1b_080,Taken down by an intense blow.,,Ha caído traz recibir un fortísimo impacto.,,,
h1b_090,Taken down by an intense attack.,,No puede mantenerse en pie traz este coloso ataque.,,,
h1b_100,It couldn't survive the second hit and goes down.,,No ha aguantado el segundo golpe y se retira a su Poké Ball.,,,
h1b_105,It's down and out.,,No ha podido encajarlo.,,,
h1b_107,It went down.,,Ha podido con él.,,,
h1b_109,It is down.,,Le ha hecho morder el polvo.,,,
h1b_110m,lost both of their Pokémon,,ha perdido a sus dos Pokémon.,,,
h1b_120,But the attacker is down as well.,,Aunque también ha caído su agresor.,,,
h1b_130,But its teammate was caught up in it too.,,Aunque su compañero también se ha visto afectado.,,,
h1b_140,"Oh, the attacker has lost all of its health.",,El Pokémon que ha realizado el ataque se ha debilitado.,,,
h1b_145,But the opponent is down too.,,Aunque su adversario también ha caído.,,,
h1b_147,And the opponent goes down too.,,Y su rival corre la misma suerte.,,,
h1b_150,"Oh, the attacker is taken down with Destiny Bond.",,Mismo Destino ha arrastrado al Pokémon que realizó el ataque.,,,
h1b_160,"Oh, the attacker is caught in the aftermath.",,El Pokémon que realizó el ataque ha sufrido daños por Resquicio.,,,
h1b_170,"It was an amazing attack, sacrificing itself like that, but it was the only one who went down.",,Un ataque espactular aunque al final se ha sacricificado a sí mismo para nada.,,,
h1b_180,Its teammate was the only one to go down from the attack.,,Parece que sólo su compañero ha caído traz el ataque.,,,
h1b_190,What's that about? The battle's just started and a Pokémon is being beaten up by its own teammate?,,"Increíble. Uno de los Pokémon cae por la paliza recibida a manos de su propio compañero, y nada más en pasar.",,,
h1b_200m,loses a Pokémon to an attack from its own teammate. What's going on here?,,pierde un Pokémon por la actuación de su compañero.,,,
h1b_200,The Blue Corner loses a Pokémon to an attack from its own teammate. What's going on here?,,La esquina azul pierde un Pokémon por la actuación de su compañero.,,,
h1b_210,Unbelievable. The Pokémon that just used the move went down.,,"Increíble. Ha caído a causa de su propio ataque. ",,,
h1b_220,Such irony. Its own teammate was the only one to go down.,,"Irónico, ¿no?, que su compañero de equipo sea el único que ha caído.",,,
h1b_230,Ouch. That was rather self-destructive.,,"¡Uy, uy, uy! Una acción algo autodestructiva.",,,
h1b_240m,went down but it left a parting gift.,,ha caído pero dejó un regalo.,,,
h1b_250,taken down by Healing Wish,,Ha caído por los efectos de Deseo Cura.,,,
h1b_260,taken down by Lunar Dance,,Ha caído por los efectos de Danza Lunar.,,,
h1l_010m,is suffering massive damage,,no las tiene todas consigo.,,,
h1l_020_0,That just goes to show ya. You never know what will happen at a Pokémon battle.,,"Como el público puede comprobar, los combates Pokémon están llenos de sorpresas.",,,
h1l_020_1,I'll bet the trainer wasn't expecting that.,,Eso sí que no se lo esperaba nadie.,,,
h1l_250,Its final wish has been passed to the next Pokémon.,,Su último deseo ha pasado al siguiente Pokémon.,,,
h2b_010,The count of Perish Song reached zero.,,La cuenta atrás de Canto Mortal ha terminado.,,,
h2b_020,Oh. It just couldn't take the damage from the Sandstorm.,,Qué lástima. No ha podido soportar los daños de la tormenta de arena.,,,
h2b_030,taken out by the avalanche of falling hail,,Una lluvia de granizo le ha dejado K.O.,,,
h2b_040,"Its dry skin couldn't withstand the strong sunlight. Now, it's all dried out.",,,,,
h2b_050,Solar Power worked against it? It's gotta be because of the strong sunlight.,,Poder Solar se ha vuelto en su contra. ¿Será a causa de este sol abrasador?,,,
h2b_060,The damage from poison finished it.,,El veneno ha acabado con él.,,,
h2b_070,It's down to damage from poison.,,Ha caído por los efectos del veneno.,,,
h2b_080,It's all burned up now. The damage from its burn was just too much.,,Se ha abrasado. No ha podido soportar el daño de las quemaduras.,,,
h2b_090,It's down due to damage from its burn.,,Los quemaduras lo han debilitado por completo.,,,
h2b_100,Oh no. It went down before it could wake from its nightmare.,,Qué pena. No ha logrado despertarse de su pesadilla y ha caído.,,,
h2b_110,Oh no. It couldn't escape the curse.,,No ha podido escapar de la maldición.,,,
h2b_120,The suffering caused by its Bad Dream was too much. It's down.,,Mal Sueño ha sido demasiado para este Pokémon que abandona la arena.,,,
h2b_130,It's down. It couldn't get out of the bind.,,"No ha logrado escaparse de su atadura, y ha caído.",,,
h2b_140,Wrapped up and taken down.,,La opresión de Repetición le ha hecho caer.,,,
h2b_150,It's down. Burned by the Fire Spin.,,Las quemaduras de Giro Fuego han acabado con él.,,,
h2b_152,It burned up in the Fire Spin.,,,,,
h2b_160,Clamped up and taken down.,,Ha caído trasera tenazado.,,,
h2b_170,Whirlpool takes it for a spin.,,Queda atrapado en el torbellino.,,,
h2b_180,It's getting buried in a Sand Tomb.,,El Bucle Arena lo está enterrando.,,,
h2b_190,Magma Storm brings it down.,,Lluvia Ígnea acaba con él.,,,
h2b_200,It was sapped by Leech Seed and taken down.,,Drenadoras agotó su salud.,,,
h2b_210,It's down. Future Sight arrives after everyone had forgotten.,,Ha caído. Premonición le alcanzó cuando ya nadie se lo esperaba.,,,
h2b_220,The Doom Desire has been granted. It's down.,,Deseo Oculto se ha cumplido. El Pokémon se ha debilitado.,,,
h2b_230,,,,,,
kb_010,had its wish come true and recovered health,,recobró la salud. Su deseo se ha cumplido.,,,
kb_020,suffers from poison,,se ha envenenado.,,,
kb_030,The damage caused by poison is slowly increasing.,,Cada vez sufre más daños por envenenamiento.,,,
kb_040,suffers from its burn,,se resiente de las quemaduras.,,,
kb_050,Hail is pounding away at the Pokémon's health.,,El granizo está minando la salud del Pokémon.,,,
kb_060,The Pokémon is getting shredded by the sandstorm.,,El Pokémon está atrapado en la tormenta de arena.,,,
kb_070,has its health sapped by Leech Seed,,pierde salud debido a las Drenadoras.,,,
kb_080,got so tired that it's now confused.,,se encuentra confuso por el cansansio.,,,
